"107年11月30日 大盤統計資訊"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)",
"1304","台聚","2,737,200","717","32,730,150","12.45","12.55","11.70","11.70","-","0.70","11.70","269","11.95","12","14.44",
"1305","華夏","4,126,016","1,823","88,310,336","21.00","21.65","20.90","21.60","+","0.75","21.55","45","21.60","95","7.15",
"1307","三芳","1,386,512","278","30,845,610","21.90","22.35","21.90","22.25","+","0.40","22.25","90","22.30","2","25.57",
"1308","亞聚","14,505,385","2,507","186,364,605","13.80","13.95","12.65","12.65","-","1.10","12.65","1,166","12.80","2","19.77",
"1309","台達化","1,123,210","420","11,840,175","10.50","10.60","10.45","10.60","+","0.15","10.55","1","10.60","176","5.55",
"1310","台苯","3,921,414","1,117","96,060,459","24.60","24.80","24.20","24.20","-","0.50","24.20","35","24.35","1","9.80",
"1312","國喬","10,384,694","3,877","229,149,786","21.90","22.45","21.65","22.35","+","0.75","22.30","119","22.35","62","5.42",
"1312A","國喬特","8,000","6","271,400","33.75","33.95","33.75","33.95","+","0.15","33.95","3","34.00","3","0.00",
"1313","聯成","2,892,850","1,087","34,705,925","11.85","12.20","11.80","12.15","+","0.40","12.10","2","12.15","92","11.15",
"1314","中石化","22,750,328","3,812","271,545,843","11.80","12.05","11.80","11.95","+","0.10","11.95","402","12.00","1,163","6.29",
"1315","達新","9,000","5","237,100","26.70","26.70","26.20","26.20","-","0.30","26.20","1","26.50","1","19.41",
"1316","上曜","1,110,123","387","14,206,731","12.85","12.90","12.70","12.90","+","0.05","12.85","8","12.90","79","2.34",
"1319","東陽","1,366,000","684","54,450,800","39.75","40.20","39.60","39.60","-","0.15","39.60","9","39.95","2","11.15",
"1321","大洋","36,000","24","957,450","26.60","26.65","26.50","26.65","+","0.15","26.55","1","26.65","1","0.00",
"1323","永裕","103,488","59","3,663,701","35.45","35.55","35.20","35.20","-","0.30","35.20","4","35.40","10","10.86",
"1324","地球","47,000","37","519,600","11.05","11.15","10.95","11.15","-","0.20","11.15","1","11.20","2","185.83",
"1325","恆大","41,220","27","690,757","16.85","16.85","16.65","16.85"," ","0.00","16.75","2","16.85","18","23.73",
"1326","台化","9,076,837","2,638","963,123,130","105.50","107.00","104.50","106.50","+","2.00","106.00","830","106.50","452","9.83",
"1337","再生-KY","335,548","138","2,388,445","7.11","7.15","7.07","7.10","+","0.02","7.10","18","7.11","5","0.00",
"1338","廣華-KY","1,269,019","692","92,645,858","70.90","73.70","70.90","73.40","+","2.80","73.40","48","73.50","8","9.31",
"1339","昭輝","50,000","41","1,743,500","34.65","35.00","34.65","34.95","+","0.35","34.95","3","35.00","1","6.95",
"1340","勝悅-KY","344,100","251","6,892,522","19.60","20.40","19.50","20.10","+","0.60","20.05","12","20.10","3","6.63",
"1402","遠東新","14,932,245","3,618","425,577,529","28.50","28.70","28.30","28.45","+","0.15","28.45","231","28.55","269","12.21",
"1409","新纖","3,313,661","713","36,893,281","11.40","11.45","11.00","11.00","-","0.40","11.00","195","11.05","6","7.86",
"1410","南染","39,001","23","908,823","23.30","23.40","23.00","23.15","+","0.10","23.15","1","23.45","6","16.19",
"1413","宏洲","255,262","121","2,956,226","11.50","11.75","11.40","11.70","+","0.35","11.70","84","11.75","2","6.65",
"1414","東和","146,000","47","1,041,930","7.12","7.17","7.10","7.11","+","0.02","7.11","122","7.16","25","79.00",
"1416","廣豐","63,722","34","907,929","14.30","14.35","14.10","14.10","-","0.20","14.10","4","14.20","4","22.74",
"1417","嘉裕","461,470","137","2,170,612","4.67","4.77","4.65","4.70","+","0.03","4.70","122","4.71","5","0.00",
"1418","東華","8,355","10","56,431","6.70","6.85","6.70","6.85","-","0.35","6.80","2","7.18","1","0.00",
"1419","新紡","244,000","32","10,420,100","42.70","44.15","41.80","41.80","-","1.20","41.50","2","41.80","6","9.01",
"1423","利華","220,002","62","2,305,820","10.50","10.60","10.35","10.60","+","0.10","10.60","6","10.65","6","16.06",
"1432","大魯閣","491,209","261","4,885,490","10.05","10.10","9.83","9.95","-","0.15","9.95","50","9.98","1","0.00",
"1434","福懋","3,481,461","1,271","116,898,837","33.60","33.70","33.40","33.60","+","0.10","33.55","76","33.60","32","11.31",
"1435","中福","233,000","48","1,304,740","5.56","5.65","5.56","5.64","-","0.01","5.59","5","5.64","11","0.00",
"1436","華友聯","22,063","19","823,084","37.80","37.80","37.20","37.25","-","0.25","37.20","3","37.45","2","9.09",
"1437","勤益控","98,100","35","1,746,525","17.85","17.85","17.75","17.75"," ","0.00","17.70","17","17.80","13","13.35",
"1438","裕豐","2,000","2","14,140","7.07","7.07","7.07","7.07","-","0.03","7.06","50","7.30","2","0.00",
"1439","中和","375,218","270","12,656,013","33.55","34.20","33.20","33.55","+","0.35","33.55","4","33.65","10","0.00",
"1440","南紡","557,949","194","6,993,607","12.55","12.60","12.45","12.60","+","0.10","12.55","10","12.60","100","16.15",
"1441","大東","148,732","67","2,025,231","13.65","13.70","13.55","13.65","+","0.05","13.60","3","13.65","1","1.12",
"1442","名軒","112,108","49","1,737,879","15.60","15.60","15.45","15.45","-","0.10","15.45","19","15.55","13","18.39",
"1443","立益","7,622","8","51,554","6.80","6.80","6.75","6.75","-","0.22","6.75","5","6.96","3","0.00",
"1444","力麗","1,698,157","539","17,052,720","10.10","10.15","10.00","10.00"," ","0.00","10.00","219","10.05","1","21.28",
"1445","大宇","158,355","71","1,279,743","8.05","8.11","8.03","8.11","+","0.06","8.07","4","8.11","19","0.00",
"1446","宏和","25,351","20","620,099","24.20","24.60","24.20","24.50"," ","0.00","24.50","3","24.65","2","0.00",
"1447","力鵬","697,601","317","5,737,490","8.22","8.26","8.19","8.21","-","0.01","8.21","36","8.22","3","11.73",
"1449","佳和","61,000","33","305,560","4.93","5.04","4.93","5.02","+","0.09","5.01","2","5.02","2","167.33",
"1451","年興","319,743","206","8,285,392","25.50","26.15","25.50","25.80","+","0.20","25.80","4","25.90","17","12.77",
"1452","宏益","121,064","53","2,130,376","17.60","17.65","17.55","17.60","+","0.05","17.60","11","17.65","3","11.00",
"1453","大將","66,000","13","587,350","8.85","8.92","8.85","8.88"," ","0.00","8.87","10","8.91","2","2.32",
"1454","台富","148,637","27","1,235,628","8.20","8.35","8.20","8.30","-","0.01","8.30","30","8.32","1","41.50",
"1455","集盛","1,185,528","346","10,950,461","9.18","9.27","9.18","9.26","+","0.09","9.26","28","9.27","11","10.89",
"1456","怡華","13,039","4","92,956","7.13","7.13","7.13","7.13","X","0.00","6.96","1","6.99","2","18.76",
"1457","宜進","753,968","312","9,444,149","12.60","12.60","12.45","12.50","+","0.20","12.45","86","12.50","5","3.38",
"1459","聯發","143,412","72","1,169,914","8.15","8.20","8.15","8.17","-","0.03","8.16","11","8.19","7","17.38",
"1460","宏遠","238,651","118","2,899,989","12.10","12.20","12.10","12.15","+","0.05","12.10","56","12.15","4","25.31",
"1463","強盛","206,000","120","2,744,250","13.20","13.40","13.20","13.30","+","0.10","13.30","22","13.35","10","9.24",
"1464","得力","150,770","82","2,986,826","19.85","19.90","19.70","19.70","-","0.05","19.70","6","19.80","21","26.62",
"1465","偉全","5,000","5","70,300","14.10","14.10","14.00","14.00","-","0.10","14.00","1","14.20","1","0.00",
"1466","聚隆","23,045","7","230,325","10.00","10.00","9.96","9.96","-","0.04","9.96","1","10.00","7","0.00",
"1467","南緯","661,070","222","6,900,042","10.10","10.70","10.10","10.70","+","0.60","10.65","47","10.70","25","0.00",
"1468","昶和","22,000","13","226,650","10.25","10.40","10.10","10.35","-","0.05","10.10","1","10.15","4","258.75",
"1470","大統新創","0","0","0","--","--","--","--"," ","0.00","18.10","1","18.15","2","33.00",
"1471","首利","332,557","112","1,627,787","4.94","4.95","4.85","4.88","-","0.06","4.87","9","4.89","2","0.00",
"1472","三洋紡","45,532","22","971,898","21.35","21.50","21.00","21.30"," ","0.00","21.30","5","21.80","10","0.00",
"1473","台南","57,000","38","1,001,400","17.45","17.75","17.45","17.50"," ","0.00","17.45","6","17.55","7","0.00",
"1474","弘裕","30,000","9","317,750","10.55","10.60","10.55","10.60"," ","0.00","10.60","1","10.65","37","13.09",
"1475","本盟","4,032","7","45,555","11.30","11.30","11.30","11.30","+","0.15","11.15","1","11.95","1","0.00",
"1476","儒鴻","1,037,998","725","398,449,252","382.00","387.00","379.50","387.00","+","8.00","385.50","1","387.00","30","25.24",
"1477","聚陽","1,118,880","951","199,414,020","177.50","180.00","176.00","180.00","+","3.00","178.50","4","180.00","81","27.03",
"1503","士電","75,195","62","3,057,445","40.20","41.05","40.20","40.60"," ","0.00","40.60","11","41.00","15","15.04",
"1504","東元","182,544,100","10,728","3,144,421,129","17.10","17.85","17.05","17.15","+","0.10","17.15","733","17.35","1","11.06",
"1506","正道","186,004","78","3,954,634","21.40","21.65","20.95","20.95","-","0.55","20.95","8","21.25","10","0.00",
"1507","永大","626,667","322","36,883,452","59.20","59.30","58.60","58.60","-","0.60","58.60","38","58.70","2","32.20",
"1512","瑞利","104,004","34","837,572","8.18","8.25","8.00","8.25","+","0.09","8.02","22","8.25","3","0.00",
"1513","中興電","575,493","257","11,649,005","20.20","20.30","20.20","20.25","-","0.05","20.25","3","20.30","64","15.82",
"1514","亞力","982,000","410","12,639,500","13.05","13.15","12.75","12.85","-","0.25","12.80","54","12.90","68","13.53",
"1515","力山","3,183,935","1,946","181,785,547","56.50","57.80","56.00","57.80","+","1.20","57.60","20","57.80","65","39.32",
"1516","川飛","30,000","19","494,950","16.50","16.65","16.35","16.35","-","0.05","16.35","3","16.45","2","24.04",
"1517","利奇","128,008","67","1,259,534","9.79","9.92","9.79","9.81","-","0.05","9.81","3","9.85","2","29.73",
"1519","華城","292,000","166","5,520,600","18.90","19.15","18.60","19.00"," ","0.00","19.00","2","19.05","5","0.00",
"1521","大億","20,080","19","1,151,640","57.10","57.70","57.00","57.30","+","0.30","57.30","4","57.80","1","11.99",
"1522","堤維西","4,044,200","1,379","106,858,829","26.35","26.70","26.20","26.55","+","0.20","26.55","356","26.60","63","15.53",
"1524","耿鼎","951,327","345","9,648,235","10.20","10.25","10.00","10.05","-","0.15","10.05","7","10.10","3","9.05",
"1525","江申","56,000","47","3,140,700","55.70","56.50","55.50","56.00","-","0.20","55.90","3","56.30","1","9.74",
"1526","日馳","3,286,156","2,184","135,388,146","41.45","43.25","40.00","40.90","-","0.65","40.85","2","40.90","4","16.04",
"1527","鑽全","573,001","381","27,278,948","48.00","48.00","47.20","47.90","-","0.10","47.80","9","47.90","5","8.24",
"1528","恩德","598,447","257","6,378,864","10.40","10.90","10.40","10.55","+","0.25","10.55","19","10.60","22","32.97",
"1529","樂士","110,402","40","301,852","2.72","2.80","2.72","2.76","-","0.14","2.76","10","2.80","1","25.09",
"1530","亞崴","18,000","16","538,800","30.20","30.20","29.85","29.85","-","0.05","29.80","3","30.00","10","9.54",
"1531","高林股","101,000","48","1,623,050","16.10","16.15","15.95","16.00","-","0.05","16.00","6","16.20","15","21.62",
"1532","勤美","2,767,418","1,466","89,285,990","32.40","33.00","31.05","31.05","-","0.95","31.00","9","32.00","11","7.57",
"1533","車王電","1,951,525","1,322","78,329,475","39.20","41.50","38.50","38.60","+","0.40","38.55","1","38.60","1","17.87",
"1535","中宇","13,000","11","393,000","30.20","30.40","30.15","30.15","-","0.35","30.15","3","30.40","4","28.99",
"1536","和大","3,395,467","2,178","435,467,537","125.00","129.50","125.00","128.00","+","3.00","128.00","11","128.50","10","25.70",
"1537","廣隆","110,295","95","15,859,625","143.50","144.50","143.50","144.00","+","0.50","143.50","41","144.50","23","11.52",
"1538","正峰新","9,002","10","46,180","5.29","5.29","5.10","5.10","-","0.19","5.03","4","5.27","1","0.00",
"1539","巨庭","113,239","83","2,477,935","22.00","22.00","21.80","21.85","+","0.05","21.80","22","21.95","1","11.62",
"1540","喬福","116,681","54","1,871,832","15.90","16.30","15.75","16.30","+","0.40","15.75","14","16.30","19","13.93",
"1541","錩泰","11,000","7","335,500","30.75","30.75","30.30","30.30","-","0.45","30.30","1","30.50","2","16.47",
"1558","伸興","86,116","74","12,158,972","140.50","142.00","140.50","142.00","+","1.50","141.00","1","142.00","3","9.54",
"1560","中砂","1,291,638","345","71,065,380","54.30","55.10","54.30","55.10","+","0.90","55.10","82","55.20","15","11.80",
"1568","倉佑","235,000","124","4,419,200","18.95","19.10","18.55","18.55","+","0.05","18.55","22","18.60","10","12.12",
"1582","信錦","190,976","136","13,044,857","68.50","68.50","68.00","68.40","+","0.30","68.20","7","68.40","14","10.46",
"1583","程泰","8,000","7","401,200","50.30","50.30","50.00","50.00","+","0.35","49.95","2","50.50","1","10.02",
"1587","吉茂","9,105","9","176,862","19.40","19.50","19.30","19.45","-","0.15","19.45","1","19.70","1","0.00",
"1589","永冠-KY","2,478,344","743","118,336,913","48.20","50.30","47.00","47.00","-","1.35","47.00","11","47.65","4","0.00",
"1590","亞德客-KY","1,651,607","1,369","536,592,668","327.00","331.00","321.50","324.00","-","1.50","324.00","18","324.50","3","20.76",
"1592","英瑞-KY","13,000","13","297,650","23.20","23.20","22.75","22.75","-","0.25","22.70","3","23.00","4","0.00",
"1598","岱宇","123,000","83","3,695,000","30.00","30.10","30.00","30.00"," ","0.00","30.00","26","30.05","1","272.73",
"1603","華電","18,120","9","429,544","23.60","23.80","23.55","23.60","X","0.00","23.60","11","24.00","1","24.33",
"1604","聲寶","2,151,586","723","28,440,468","13.10","13.35","13.05","13.10"," ","0.00","13.10","97","13.20","16","8.79",
"1605","華新","64,346,649","17,560","1,187,319,495","18.10","18.85","18.10","18.45","+","0.80","18.40","763","18.45","28","5.10",
"1608","華榮","1,081,615","386","10,826,274","9.90","10.10","9.90","10.00"," ","0.00","10.00","12","10.05","18","0.00",
"1609","大亞","3,289,671","1,095","35,700,677","10.90","10.95","10.80","10.80","-","0.20","10.80","608","10.85","15","12.27",
"1611","中電","299,202","164","2,722,720","9.08","9.15","9.06","9.06","+","0.01","9.06","43","9.08","3","5.03",
"1612","宏泰","222,252","66","2,107,693","9.50","9.56","9.43","9.56","+","0.08","9.50","2","9.59","3","19.92",
"1614","三洋電","42,800","19","966,868","22.90","22.90","22.55","22.55","+","0.05","22.55","4","22.80","1","25.92",
"1615","大山","26,000","13","414,900","16.20","16.20","15.80","15.95"," ","0.00","15.95","5","16.00","3","9.11",
"1616","億泰","106,125","36","500,810","4.71","4.79","4.67","4.67","-","0.04","4.67","7","4.71","1","0.00",
"1617","榮星","16,000","10","202,500","12.75","12.75","12.65","12.65","-","0.10","12.65","12","12.75","18","9.58",
"1618","合機","82,000","32","724,290","8.81","8.88","8.80","8.84","-","0.03","8.84","5","8.87","2","23.89",
"1626","艾美特-KY","14,092","15","192,638","13.70","13.70","13.60","13.60","-","0.10","13.60","1","13.65","1","0.00",
"1701","中化","885,176","312","16,481,520","18.50","18.70","18.50","18.55","+","0.05","18.55","27","18.60","35","14.72",
"1702","南僑","328,720","263","15,464,330","46.60","47.45","46.60","47.45","+","0.90","47.10","1","47.45","8","12.82",
"1704","榮化","846,668","526","44,299,665","52.40","52.40","52.30","52.30"," ","0.00","52.30","279","52.40","171","14.14",
"1707","葡萄王","320,789","278","63,981,933","198.00","202.00","197.00","197.00"," ","0.00","197.00","32","197.50","1","20.10",
"1708","東鹼","169,952","73","4,278,591","25.10","25.30","25.10","25.15","+","0.05","25.15","2","25.20","2","11.64",
"1709","和益","190,001","88","3,080,316","16.20","16.25","16.20","16.20"," ","0.00","16.20","20","16.25","54","15.14",
"1710","東聯","6,919,333","2,954","176,097,771","24.90","25.70","24.90","25.70","+","0.90","25.70","15","25.75","46","11.63",
"1711","永光","273,403","167","4,431,535","16.20","16.30","16.15","16.15","-","0.10","16.15","1","16.20","11","19.70",
"1712","興農","487,196","246","8,166,332","16.75","16.85","16.70","16.75"," ","0.00","16.75","13","16.85","12","10.47",
"1713","國化","19,814","13","369,720","18.70","18.70","18.55","18.55","-","0.05","18.55","4","18.65","1","24.41",
"1714","和桐","19,591,813","1,564","125,351,563","6.60","6.74","6.36","6.36","-","0.20","6.35","25","6.36","7,334","45.43",
"1717","長興","630,063","349","15,084,312","24.00","24.00","23.85","24.00","+","0.10","23.90","18","24.00","9","14.72",
"1718","中纖","10,802,183","2,610","107,352,366","10.00","10.05","9.85","9.85","-","0.15","9.85","171","9.88","31","7.46",
"1720","生達","217,308","134","6,702,985","30.80","31.05","30.70","30.70","+","0.10","30.70","11","30.80","1","16.68",
"1721","三晃","421,429","200","4,204,320","9.80","10.10","9.80","10.05","+","0.25","10.00","17","10.05","9","67.00",
"1722","台肥","1,643,284","783","72,870,626","44.35","44.55","44.20","44.20","-","0.10","44.20","15","44.25","3","22.55",
"1723","中碳","142,053","138","18,506,890","130.00","131.00","129.50","130.00","-","0.50","130.00","31","130.50","2","20.50",
"1724","台硝","31,000","16","400,400","12.80","13.00","12.80","12.95","-","0.10","12.90","6","13.00","5","17.50",
"1725","元禎","21,000","14","307,700","14.60","14.75","14.55","14.55","-","0.05","14.55","1","14.60","4","11.64",
"1726","永記","559,146","345","39,222,634","73.40","73.70","69.50","69.50","-","3.80","69.50","18","70.40","4","13.93",
"1727","中華化","55,492","28","782,484","14.10","14.10","14.10","14.10","+","0.05","14.05","18","14.15","6","13.82",
"1730","花仙子","781,616","457","44,058,622","56.20","57.30","55.60","56.70","+","0.80","56.60","4","56.70","4","14.00",
"1731","美吾華","1,648,208","663","21,276,932","12.45","13.15","12.45","13.00","+","0.60","12.95","1","13.00","16","18.31",
"1732","毛寶","43,000","16","417,390","9.65","9.80","9.65","9.80","+","0.15","9.80","1","9.81","1","65.33",
"1733","五鼎","301,101","189","8,489,238","27.90","28.40","27.90","28.35","+","0.50","28.25","6","28.35","1","15.93",
"1734","杏輝","68,416","74","1,344,743","19.55","19.75","19.55","19.60"," ","0.00","19.60","10","19.70","6","140.00",
"1735","日勝化","10,011","7","153,667","15.40","15.40","15.25","15.25","-","0.20","15.25","4","15.60","2","50.83",
"1736","喬山","106,015","84","3,628,057","34.40","34.90","33.85","33.85","-","0.75","33.85","15","34.10","1","54.60",
"1737","臺鹽","207,957","94","6,227,222","29.80","30.05","29.80","29.85","-","0.15","29.85","11","30.00","26","13.21",
"1760","寶齡富錦","494,410","401","36,861,640","75.40","75.60","73.30","73.60","-","1.60","73.60","2","74.00","1","69.43",
"1762","中化生","209,001","145","4,736,322","22.55","22.75","22.55","22.60","+","0.20","22.60","2","22.65","8","6.12",
"1773","勝一","1,094,770","624","96,321,838","88.50","91.80","86.30","86.30","-","2.20","86.30","39","86.60","2","13.90",
"1776","展宇","20,000","12","319,400","15.80","16.30","15.75","15.80"," ","0.00","15.80","2","16.75","1","63.20",
"1783","和康生","1,570,101","1,036","36,776,786","23.60","24.10","22.85","22.85","-","0.80","22.85","21","23.00","9","29.68",
"1786","科妍","2,829,141","2,134","184,121,052","63.80","66.80","63.50","63.50","+","0.70","63.50","12","63.60","3","46.35",
"1789","神隆","599,320","329","16,235,619","27.00","27.40","26.95","26.95","+","0.05","26.90","34","26.95","3","51.83",
"1802","台玻","857,705","424","11,890,810","13.80","13.95","13.80","13.85","+","0.05","13.85","18","13.90","107","20.37",
"1805","寶徠","7,080","9","65,310","9.38","9.38","9.17","9.17","+","0.01","9.16","1","9.35","2","0.00",
"1806","冠軍","127,898","58","917,624","7.19","7.21","7.15","7.15","-","0.03","7.15","19","7.18","4","0.00",
"1808","潤隆","159,000","102","9,065,600","57.00","57.30","56.80","56.90","-","0.20","56.90","6","57.20","11","7.34",
"1809","中釉","243,200","115","2,707,109","11.20","11.25","11.00","11.20","+","0.05","11.15","3","11.20","16","0.00",
"1810","和成","324,000","66","2,611,920","8.03","8.13","8.03","8.03","+","0.01","8.03","39","8.04","3","89.22",
"1817","凱撒衛","24,000","18","864,800","36.00","36.10","35.95","36.00","+","0.20","36.00","4","36.25","1","10.29",
"1902","台紙","74,360","27","1,317,753","17.65","17.80","17.65","17.65","-","0.20","17.65","12","17.80","14","14.83",
"1903","士紙","16,101","11","486,231","30.45","30.45","30.10","30.10","-","0.10","30.10","9","30.30","5","0.00",
"1904","正隆","3,481,653","954","74,729,071","21.10","21.75","21.05","21.75","+","0.55","21.30","1","21.75","33","6.30",
"1905","華紙","1,069,209","379","10,135,743","9.35","9.55","9.35","9.55","+","0.22","9.53","4","9.55","119","21.22",
"1906","寶隆","388,101","200","5,936,910","15.10","15.45","15.10","15.45","+","0.35","15.40","3","15.45","39","4.87",
"1907","永豐餘","1,263,766","594","14,603,256","11.50","11.60","11.50","11.60","+","0.10","11.55","51","11.60","215","13.49",
"1909","榮成","18,335,700","3,022","315,636,085","16.65","17.15","16.50","17.10","+","0.60","17.05","7","17.10","205","10.43",
"2002","中鋼","31,166,882","6,595","748,850,768","24.00","24.20","23.90","24.00","+","0.15","24.00","92","24.05","6","15.00",
"2002A","中鋼特","65,020","21","2,793,960","42.90","43.15","42.90","43.15","+","0.15","43.15","1","43.20","3","0.00",
"2006","東和鋼鐵","478,431","298","10,001,025","21.00","21.00","20.80","20.90","-","0.05","20.90","7","20.95","9","15.71",
"2007","燁興","202,471","73","1,050,464","5.15","5.24","5.15","5.16","+","0.02","5.16","12","5.19","10","258.00",
"2008","高興昌","17,000","5","210,800","12.40","12.40","12.40","12.40"," ","0.00","12.40","8","12.50","8","0.00",
"2009","第一銅","117,135","46","1,109,439","9.38","9.53","9.38","9.50"," ","0.00","9.47","1","9.50","19","25.00",
"2010","春源","93,040","46","940,900","10.10","10.20","10.10","10.10","-","0.05","10.10","46","10.15","2","17.72",
"2012","春雨","70,301","20","1,399,638","20.00","20.00","19.80","19.85","-","0.20","19.85","1","20.00","5","12.72",
"2013","中鋼構","3,055,138","1,669","77,893,930","25.50","25.95","25.10","25.55","-","0.55","25.55","3","25.60","11","48.21",
"2014","中鴻","8,455,140","2,496","98,905,526","11.80","11.90","11.55","11.60","-","0.20","11.60","318","11.65","89","4.60",
"2015","豐興","169,477","130","9,963,799","58.60","59.20","58.50","58.90","+","0.30","58.70","1","58.90","3","11.26",
"2017","官田鋼","159,977","70","1,315,996","8.23","8.26","8.20","8.20","-","0.02","8.20","21","8.24","7","12.81",
"2020","美亞","107,001","34","1,543,014","14.40","14.45","14.35","14.45","+","0.05","14.40","9","14.45","36","8.65",
"2022","聚亨","616,502","183","4,176,486","6.72","6.83","6.72","6.75"," ","0.00","6.75","17","6.77","23","25.96",
"2023","燁輝","4,874,487","1,165","48,648,455","10.45","10.50","9.75","9.75","-","0.70","9.75","650","10.10","2","19.12",
"2024","志聯","114,000","44","1,077,540","9.43","9.55","9.40","9.47","+","0.03","9.47","4","9.54","2","9.66",
"2027","大成鋼","16,895,464","7,623","732,678,989","42.50","44.30","42.30","42.70","-","0.15","42.70","98","42.85","3","8.73",
"2028","威致","434,422","159","3,153,541","7.35","7.35","7.20","7.21","-","0.25","7.21","1","7.26","1","3.90",
"2029","盛餘","69,756","53","1,370,540","19.65","19.75","19.60","19.60"," ","0.00","19.60","6","19.65","13","26.85",
"2030","彰源","473,100","169","6,215,004","13.20","13.25","13.10","13.10","+","0.05","13.10","3","13.15","13","5.67",
"2031","新光鋼","3,777,703","2,119","120,738,114","31.45","32.60","31.15","32.55","+","0.55","32.50","11","32.55","36","5.98",
"2032","新鋼","35,000","20","318,490","9.13","9.15","9.01","9.02","-","0.10","9.02","2","9.13","2","39.22",
"2033","佳大","70,000","47","694,760","9.96","10.00","9.82","9.82","-","0.16","9.82","35","9.90","2","42.70",
"2034","允強","151,874","100","3,758,535","24.70","24.85","24.65","24.70"," ","0.00","24.70","48","24.75","1","10.21",
"2038","海光","240,200","109","1,977,892","8.27","8.32","8.15","8.23","-","0.01","8.22","5","8.23","2","25.72",
"2049","上銀","3,888,899","2,834","931,462,683","238.00","241.00","237.50","240.50","+","3.50","240.00","11","240.50","55","13.47",
"2059","川湖","470,060","431","161,230,840","343.00","354.00","335.50","335.50","-","1.50","335.50","5","337.00","1","19.85",
"2062","橋椿","86,000","59","2,920,600","34.00","34.10","33.80","33.85","-","0.15","33.85","4","33.90","3","43.40",
"2069","運錩","405,000","169","9,703,550","23.90","24.20","23.70","23.75","-","0.10","23.75","2","23.95","8","3.43",
"2101","南港","417,090","162","11,109,239","26.70","26.90","26.55","26.55","-","0.05","26.55","50","26.65","4","71.76",
"2102","泰豐","648,826","252","7,637,759","11.80","11.90","11.65","11.80","-","0.05","11.75","7","11.80","21","0.00",
"2103","台橡","823,284","432","22,553,425","27.40","27.45","27.30","27.40"," ","0.00","27.40","109","27.45","12","19.86",
"2104","國際中橡","5,026,096","2,682","206,973,711","41.50","41.70","40.80","41.05","-","0.35","41.05","119","41.15","1","9.46",
"2105","正新","8,856,897","2,673","374,387,116","41.60","42.50","41.50","42.50","+","0.90","42.50","2,800","42.55","149","35.71",
"2106","建大","508,037","326","15,440,970","30.50","30.60","30.15","30.60","+","0.05","30.40","6","30.60","18","45.00",
"2107","厚生","746,895","348","11,431,995","15.30","15.40","15.20","15.30","-","0.15","15.30","50","15.35","41","29.42",
"2108","南帝","584,750","313","16,948,572","28.95","29.10","28.85","28.85","-","0.10","28.85","63","29.10","77","9.55",
"2109","華豐","93,610","44","1,092,726","11.50","11.70","11.50","11.65","+","0.05","11.65","14","11.70","1","0.00",
"2114","鑫永銓","7,000","7","553,000","79.20","79.20","78.90","78.90","-","0.30","78.70","3","79.00","1","12.46",
"2115","六暉-KY","7,199","9","212,759","29.85","29.85","29.50","29.50","-","0.35","29.50","3","29.85","4","12.77",
"2201","裕隆","3,234,950","894","58,248,200","18.00","18.10","17.95","18.00"," ","0.00","17.95","252","18.00","979","15.52",
"2204","中華","1,708,411","460","39,991,058","24.00","24.20","23.05","23.05","-","1.05","23.05","167","23.50","41","8.51",
"2206","三陽工業","1,253,900","520","25,410,957","19.95","20.50","19.95","20.50","+","0.65","20.15","3","20.50","60","10.73",
"2207","和泰車","883,881","611","211,116,736","233.00","245.00","233.00","237.00","+","5.50","236.50","2","237.00","18","12.94",
"2208","台船","3,206,770","1,919","92,935,385","29.10","29.40","28.70","28.85","-","1.05","28.80","124","28.85","17","0.00",
"2227","裕日車","46,247","50","10,727,804","230.00","234.50","230.00","230.00","+","1.00","230.00","6","231.00","4","11.43",
"2228","劍麟","230,828","184","18,203,346","78.30","79.50","78.30","78.60","+","0.30","78.50","11","79.00","11","10.33",
"2231","為升","475,794","405","115,148,236","240.00","245.00","238.50","245.00","+","7.00","244.00","4","245.00","19","25.79",
"2236","百達-KY","131,849","35","3,768,507","28.50","29.30","28.50","28.70","+","0.30","28.70","58","28.75","2","9.63",
"2239","英利-KY","336,307","179","42,493,026","126.00","127.00","125.00","126.50","+","1.50","126.50","31","127.00","16","11.23",
"2243","宏旭-KY","84,406","43","1,659,457","19.90","19.90","19.50","19.50","-","0.40","19.50","6","19.60","2","17.11",
"2301","光寶科","30,646,137","4,808","1,247,687,142","39.65","40.90","39.50","40.90","+","0.90","40.90","649","40.95","13","12.28",
"2302","麗正","1,157,996","364","8,880,247","7.14","7.85","7.10","7.85","+","0.71","7.85","301","--","0","78.50",
"2303","聯電","122,685,538","7,084","1,418,019,614","11.55","11.70","11.40","11.55","+","0.05","11.55","75","11.60","1,190","13.43",
"2305","全友","266,533","115","1,700,289","6.35","6.41","6.34","6.40","+","0.06","6.40","1","6.41","6","0.00",
"2308","台達電","14,829,418","4,965","1,920,200,922","129.00","130.00","127.00","130.00","+","1.50","129.50","660","130.00","1,041","19.97",
"2312","金寶","2,045,339","661","19,797,022","9.63","9.72","9.62","9.72","+","0.10","9.71","18","9.72","30","38.88",
"2313","華通","16,387,756","5,283","335,325,241","20.10","20.70","20.10","20.40","+","0.40","20.40","150","20.45","38","7.56",
